timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548915504659,224,Http Request /solutions/intranets,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,142,10,10,https://www-prd.liferay.com/solutions/intranets,223,0,168
1548915503657,1339,Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=/login/create_account_trial&_58_redirect=/c/portal/register_trial_license?redirect=/digital-experience-platform/30-day-trial,404,,Thread Group 1-9,text,false,Test failed: code expected to match /200/,269500,333,10,10,https://www-prd.liferay.com/sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=/login/create_account_trial&_58_redirect=/c/portal/register_trial_license?redirect=/digital-experience-platform/30-day-trial,1123,0,174
1548915504883,224,Http Request /locations,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,132,10,10,https://www-prd.liferay.com/locations,224,0,169
1548915503368,1774,Http Request /resources/l?title=gartner-magic-quadrant-digital-experience-platforms&hsa_tgt=&hsa_grp=60759509412&hsa_src=d&hsa_net=adwords&hsa_mt=&hsa_ver=3&hsa_ad=269310744878&hsa_acc=9733166788&hsa_kw=&hsa_cam=1270442147,200,,Thread Group 1-4,text,true,,232535,331,10,10,https://www-prd.liferay.com/resources/l?title=gartner-magic-quadrant-digital-experience-platforms&hsa_tgt=&hsa_grp=60759509412&hsa_src=d&hsa_net=adwords&hsa_mt=&hsa_ver=3&hsa_ad=269310744878&hsa_acc=9733166788&hsa_kw=&hsa_cam=1270442147,1506,0,170
1548915503887,1367,Http Request /community/forums/-/message_boards/my-posts,404,,Thread Group 1-1,text,false,Test failed: code expected to match /200/,260456,165,10,10,https://www-prd.liferay.com/community/forums/-/message_boards/my-posts,1098,0,167
1548915504060,1271,Http Request /community/liferay-projects/liferay-portal/overview,404,,Thread Group 1-6,text,false,Test failed: code expected to match /200/,260641,173,10,10,https://www-prd.liferay.com/community/liferay-projects/liferay-portal/overview,1002,0,167
1548915505108,227,Http Request /es/blog/es-es/transformacion-digital/cinco-ejemplos-de-intranet-que-potencian-la-productividad,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,217,10,10,https://www-prd.liferay.com/es/blog/es-es/transformacion-digital/cinco-ejemplos-de-intranet-que-potencian-la-productividad,227,0,172
1548915503533,1922,Http Request /company/gartner/magic-quadrant-digital-experience-platforms,200,,Thread Group 1-8,text,true,,237883,182,10,10,https://www-prd.liferay.com/company/gartner/magic-quadrant-digital-experience-platforms,1704,0,171
1548915505255,224,Http Request /community/forums,503,Service Unavailable,Thread Group 1-1,text,false,Test failed: code expected to match /200/,291,139,10,10,https://www-prd.liferay.com/community/forums,224,0,169
1548915505335,224,Http Request /web/csilla.novak/support?p_p_id=2_WAR_osbportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_2_WAR_osbportlet_mvcPath=/support/2/view.jsp,503,Service Unavailable,Thread Group 1-5,text,false,Test failed: code expected to match /200/,291,267,10,10,https://www-prd.liferay.com/web/csilla.novak/support?p_p_id=2_WAR_osbportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_2_WAR_osbportlet_mvcPath=/support/2/view.jsp,224,0,168
1548915502341,3461,Http Request /es/digital-experience-platform,200,,Thread Group 1-3,text,true,,333221,429,9,9,https://www-prd.liferay.com/es/products/dxp,225,0,171
1548915502341,225,Http Request /es/digital-experience-platform-0,302,Moved Temporarily,Thread Group 1-3,text,true,,354,153,9,9,https://www-prd.liferay.com/es/digital-experience-platform,225,0,171
1548915502566,109,Http Request /es/digital-experience-platform-1,302,Found,Thread Group 1-3,,true,,121,138,9,9,http://www-prd.liferay.com/es/products/dxp,109,0,55
1548915502675,3127,Http Request /es/digital-experience-platform-2,200,,Thread Group 1-3,text,true,,332746,138,9,9,https://www-prd.liferay.com/es/products/dxp,2853,0,0
1548915505802,225,Http Request /web/james.falkner/blog/-/blogs/,503,Service Unavailable,Thread Group 1-3,text,false,Test failed: code expected to match /200/,291,154,9,9,https://www-prd.liferay.com/web/james.falkner/blog/-/blogs/,225,0,170
1548915504997,1230,Http Request /sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/create_account,404,,Thread Group 1-9,text,false,Test failed: code expected to match /200/,265035,245,9,9,https://www-prd.liferay.com/sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=/login/create_account,959,0,168
1548915506228,223,Http Request /es/group/customer,503,Service Unavailable,Thread Group 1-9,text,false,Test failed: code expected to match /200/,291,140,9,9,https://www-prd.liferay.com/es/group/customer,223,0,168
1548915505143,1503,Http Request /c/portal/saml/slo_logout,200,,Thread Group 1-4,text,true,,221101,147,9,9,https://www-prd.liferay.com/c/portal/saml/slo_logout,1233,0,168
1548915505456,1216,Http Request /30-Day Download EE Trial - END,404,,Thread Group 1-8,text,false,Test failed: code expected to match /200/,260511,163,8,8,https://www-prd.liferay.com/30-Day%20Download%20EE%20Trial%20-%20END,892,0,172
1548915504568,2209,Http Request /it/downloads,200,,Thread Group 1-7,text,true,,236787,437,8,8,https://www-prd.liferay.com/it/products/dxp/30-day-trial,225,0,170
1548915504568,225,Http Request /it/downloads-0,301,Moved Permanently,Thread Group 1-7,text,true,,391,135,8,8,https://www-prd.liferay.com/it/downloads,225,0,170
1548915504794,108,Http Request /it/downloads-1,302,Found,Thread Group 1-7,,true,,134,151,8,8,http://www-prd.liferay.com/it/products/dxp/30-day-trial,108,0,54
1548915504902,1875,Http Request /it/downloads-2,200,,Thread Group 1-7,text,true,,236262,151,8,8,https://www-prd.liferay.com/it/products/dxp/30-day-trial,1657,0,0
1548915506672,223,Http Request /web/sebastian.madaras/support?p_p_id=2_WAR_osbportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_2_WAR_osbportlet_mvcPath=/support/2/view.jsp,503,Service Unavailable,Thread Group 1-8,text,false,Test failed: code expected to match /200/,291,269,8,8,https://www-prd.liferay.com/web/sebastian.madaras/support?p_p_id=2_WAR_osbportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_2_WAR_osbportlet_mvcPath=/support/2/view.jsp,223,0,168
1548915506028,912,Http Request /digital-experience-platform/30-day-trial,200,OK,Thread Group 1-3,text,true,,90465,870,8,8,https://web.liferay.com/sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=%2Flogin%2Fcreate_account_trial&_58_redirect=%2Fc%2Fportal%2Fregister_trial_license%3Fredirect%3D%2Fdigital-experience-platform%2F30-day-trial,223,0,168
1548915506028,223,Http Request /digital-experience-platform/30-day-trial-0,301,Moved Permanently,Thread Group 1-3,text,true,,400,163,8,8,https://www-prd.liferay.com/digital-experience-platform/30-day-trial,223,0,168
1548915506252,273,Http Request /digital-experience-platform/30-day-trial-1,302,Found,Thread Group 1-3,text,true,,462,159,8,8,https://web.liferay.com/digital-experience-platform/30-day-trial,273,0,202
1548915506525,71,Http Request /digital-experience-platform/30-day-trial-2,302,Found,Thread Group 1-3,text,true,,759,201,8,8,https://web.liferay.com/c/portal/register_trial_license?redirect=/digital-experience-platform/30-day-trial,71,0,0
1548915506596,344,Http Request /digital-experience-platform/30-day-trial-3,200,OK,Thread Group 1-3,text,true,,88844,347,8,8,https://web.liferay.com/sign-in?p_p_id=58&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_58_struts_action=%2Flogin%2Fcreate_account_trial&_58_redirect=%2Fc%2Fportal%2Fregister_trial_license%3Fredirect%3D%2Fdigital-experience-platform%2F30-day-trial,216,0,0
